one	day
day	mary
mary	and
and	tom
tom	were
were	playing
playing	with
with	a
a	ball
ball	then
then	the
the	ball
ball	falls
falls	into
into	the
the	swimming
swimming	pool
pool	and
and	mary
mary	was
was	very
very	worried
worried	tom
tom	swam
swam	to
to	catch
catch	the
the	ball
ball	and
and	the
the	ball
ball	return
return	to
to	mary
mary	then
then	mary
mary	fell
fell	in
in	love
love	with
with	tom
tom	only
only	with
with	ten
ten	years
years	but
but	they
they	didn't
didn't	know
know	if
if	wanted
wanted	to
to	mary
mary	they
they	married
married	with
with	eleven
eleven	years
years	and
and	they
they	had
had	little
little	giraffes
giraffes	children
children	with
with	seventeen
seventeen	years
years	they
they	had
had	ten
ten	childrens
childrens	tom
tom	mary
mary	felipe
felipe	roberto
roberto	maría
maría	nuria
nuria	manuel
manuel	clara
clara	chocolate
chocolate	and
and	marta
marta	when
when	marta
marta	had
had	twenty
twenty	years
years	she
she	had
had	thirty
thirty	children
children	
